INFO   | jvm 1    | main    | 2016/07/30 14:32:52.858 | INFO  [localhost-startStop-1] [hybrisserver] @deprecated b2bcommercehmc->(b2bcommerce,hmc) 6.0.0.0-SNAPSHOT [cibh] path:C:\HYBRIS-6.1\hybris\bin\ext-commerce\b2bcommercehmc
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.858 | INFO  [localhost-startStop-1] [hybrisserver] @deprecated acceleratorserviceshmc->(acceleratorservices,hmc) 6.0.0.0-SNAPSHOT [cibh] path:C:\HYBRIS-6.1\hybris\bin\ext-accelerator\acceleratorserviceshmc
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.858 | INFO  [localhost-startStop-1] [hybrisserver] @deprecated acceleratorcmshmc->(acceleratorcms,hmc) 6.0.0.0-SNAPSHOT [cibh] path:C:\HYBRIS-6.1\hybris\bin\ext-accelerator\acceleratorcmshmc
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.874 | INFO  [localhost-startStop-1] [hybrisserver] saparticlemodel 6.0.0.0-SNAPSHOT [ci] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sapretail\masterdata\saparticlemodel
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.874 | INFO  [localhost-startStop-1] [hybrisserver] saparticlesearch->(commerceservices,solrfacetsearch,saparticlemodel) 6.0.0.0-SNAPSHOT [cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sapretail\masterdata\saparticlesearch
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.874 | INFO  [localhost-startStop-1] [hybrisserver] saparticleb2caddon->(acceleratorservices,commerceservices,cms2,addonsupport,saparticlemodel,commercefacades,hmc) 6.0.0.0-SNAPSHOT [cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sapretail\masterdata\saparticleb2caddon
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.874 | INFO  [localhost-startStop-1] [hybrisserver] sapcoretest 6.0.0.0-SNAPSHOT [cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\testsupport\sapcoretest
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.874 | INFO  [localhost-startStop-1] [hybrisserver] sapcore->sapcoretest <-?-(sapcorejco,sapcorebol,sapcommonbol,sapcoreaddon,sapcoreconfiguration,sappricingbol,sappricing,sapordermgmtbol,sapordermgmtservices,b2bsappricing,sapproductavailability,b2bsapproductavailability,sapcreditcheck,sapcoreconfigurationbackoffice) 6.0.0.0-SNAPSHOT [?cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\core\sapcore
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.889 | INFO  [localhost-startStop-1] [hybrisserver] sapcorejco->sapcore <-?-(sapcorejcorec,sapcorebol,sappricingbol,sapproductavailability,sapcreditcheck) 6.0.0.0-SNAPSHOT [?cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\core\sapcorejco
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.889 | INFO  [localhost-startStop-1] [hybrisserver] sapcorejcorec->sapcorejco <-?-(sapcorebol,sappricingbol,sapproductavailability,sapcreditcheck) 6.0.0.0-SNAPSHOT [?cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\core\sapcorejcorec
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.889 | INFO  [localhost-startStop-1] [hybrisserver] sapcoreodata 6.0.0.0-SNAPSHOT [cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\core\sapcoreodata
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.889 | INFO  [localhost-startStop-1] [hybrisserver] sapcorebol->(sapcore,sapcorejcorec,sapcorejco) 6.0.0.0-SNAPSHOT [cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\core\sapcorebol
INFO   | jvm 1    | main    | 2016/07/30 14:32:52.905 | INFO  [localhost-startStop-1] [hybrisserver] sapcommonbol->(sapcorebol,sapcore) 6.0.0.0-SNAPSHOT [cib] path:C:\HYBRIS-6.1\hybris\bin\ext-integration\sap\synchronousOM\sapcommonbol
